"";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"Potamogeton";4.33323813988486;-0.219562833105974;-0.199625954670811;-0.153402361135185;-0.264017951655542;-0.255607465552725;-0.153402361135185;-0.199625954670811;-0.177838101069842;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;-0.189002665912436;-0.153402361135185;-0.124760350179493;-0.166021918924212;-0.413059239484868;-0.346808477803124
"Anagallis_angustiloba";-0.460670668093032;1.94164488207314;2.19872486609385;3.02174925159854;-0.531132914637442;1.56674360229978;-0.308604178886659;-0.401593582848192;-0.357762297459406;-0.441701205400525;-0.62559656374015;-0.441701205400525;-0.422043232021842;-0.422043232021842;-0.38022239090503;-0.308604178886659;-0.250984177426221;-0.33399132573744;-0.830963790188614;-0.697685125126914
"Primulaceae";-0.398172534811362;-0.381776615627812;-0.347110302265541;-0.266736557526742;-0.459075329927948;-0.4444511475256;-0.266736557526742;-0.347110302265541;-0.30922550686596;-0.381776615627812;-0.540723312349873;-0.381776615627812;-0.364785594424214;-0.364785594424214;2.8238566628224;-0.266736557526742;-0.2169337295492;-0.288679488373736;2.54530219806085;-0.603031783903081
"Protea";-0.656657317123388;-0.62961753069527;-0.572446615233177;-0.439896017255987;-0.757096856644916;8.16584394057146;4.30731516896487;-0.572446615233177;-0.509967850547302;-0.62961753069527;-0.891748899159901;-0.62961753069527;-0.601596315208804;-0.601596315208804;-0.541983313492655;-0.439896017255987;-0.357762297459406;-0.476083812344961;-1.18448707696263;-0.994506649097557
"Clematis";0.553573622514086;-0.0658865807844477;2.76102554307437;-0.046033096387402;2.00566431970085;4.21255710659947;4.28944761791699;-0.6240897973103;-1.30988761401806;-1.61721607380008;-2.29051858184823;-1.61721607380008;-1.54524164824352;-1.54524164824352;-1.39212153979234;-1.1299032749635;-0.918937148100191;-1.22285412375681;0.644071414378512;0.0709571931464478
"Ranunculus_multifidus";4.33323813988486;-0.219562833105974;-0.199625954670811;-0.153402361135185;-0.264017951655542;-0.255607465552725;-0.153402361135185;-0.199625954670811;-0.177838101069842;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;-0.189002665912436;-0.153402361135185;-0.124760350179493;-0.166021918924212;-0.413059239484868;-0.346808477803124
"Ranunculus_oreophytus";5.07608157586158;-0.54310530330521;-0.493789923938328;-0.37945236310486;1.00521313667816;2.77932906855025;-0.37945236310486;-0.493789923938328;-0.439896017255987;-0.54310530330521;-0.769218664886142;-0.54310530330521;-0.518934326491791;-0.518934326491791;-0.467512414299748;-0.37945236310486;-0.308604178886659;-0.410667795442077;-1.02173332512599;-0.857857046484609
"Ranunculus";-0.228992259424809;-0.219562833105974;-0.199625954670811;-0.153402361135185;-0.264017951655542;-0.255607465552725;-0.153402361135185;-0.199625954670811;-0.177838101069842;-0.219562833105974;-0.310974369634324;-0.219562833105974;-0.209791158780948;-0.209791158780948;-0.189002665912436;-0.153402361135185;-0.124760350179493;-0.166021918924212;2.4022655770041;-0.346808477803124
"Thalictrum";1.31440738945772;1.41056516275103;-0.493789923938328;-0.37945236310486;-0.653068407268615;4.48512581915337;-0.37945236310486;-0.493789923938328;-0.439896017255987;-0.54310530330521;-0.769218664886142;-0.54310530330521;-0.518934326491791;-0.518934326491791;-0.467512414299748;-0.37945236310486;-0.308604178886659;-0.410667795442077;0.138919881925024;-0.857857046484609
"Resedaceae";-0.460670668093032;-0.441701205400525;-0.401593582848192;-0.308604178886659;-0.531132914637442;-0.514213284857363;-0.308604178886659;-0.401593582848192;-0.357762297459406;-0.441701205400525;1.13559376244136;-0.441701205400525;-0.422043232021842;-0.422043232021842;-0.38022239090503;6.35210268208373;-0.250984177426221;-0.33399132573744;0.584954773356458;-0.697685125126914
